date,vix,BI,close,pos,neg,seg
2020-05-08,28.33,0.08515780834030677,4158.93,39.0,53.0,".%,營收,億元"
2020-05-09,,0.12260232209233228,,16.0,31.0,"違反板規,刪文,水桶"
2020-05-10,,-0.2744368457017603,,17.0,25.0,"億元,美國,協議"
2020-05-11,27.88,0.3513978868378886,4166.33,39.0,51.0,"億元,.%,營收"
2020-05-12,27.4,-0.09309042306601198,4181.49,33.0,51.0,".%,美國,內容"
2020-05-13,27.0,-0.13657553500575073,4227.32,39.0,45.0,".%,美國,市場"
2020-05-14,29.75,-0.08167803101426724,4131.1,40.0,56.0,"美國,.%,內容"
2020-05-15,28.9,-0.09097177820572676,4162.43,33.0,53.0,"美國,台積,.%"
2020-05-16,,-0.4328640822962788,,24.0,36.0,"美國,.%,億元"
2020-05-17,,-0.579818495252942,,30.0,45.0,"美國,中國,台灣"
2020-05-18,29.65,-0.2776317365982795,4265.59,58.0,56.0,"美國,台灣,台積"
2020-05-19,26.95,-0.14518200984449786,4278.54,39.0,28.0,"美國,億元,中國"
2020-05-20,24.99,-0.08223809823697212,4312.47,36.0,35.0,"市場,疫苗,台灣"
2020-05-21,22.44,-0.11778303565638353,4406.15,43.0,40.0,"市場,美國,董事"
2020-05-22,26.78,-0.4274440148269396,4450.88,34.0,40.0,"美國,中國,.%"
2020-05-23,,-0.16251892949777494,,26.0,46.0,"美國,.%,市場"
2020-05-24,,-0.25489224962879004,,28.0,41.0,"技術,美國,分析"
2020-05-25,25.01,0.10265415406008337,4581.04,38.0,39.0,"市場,.%,機制"
2020-05-26,23.78,0.20067069546215124,4561.96,53.0,45.0,"美國,.%,內容"
2020-05-27,23.79,0.21029540883636075,4478.75,47.0,55.0,"疫情,股價,台灣"
2020-05-28,24.7,-0.09097177820572676,4421.34,39.0,47.0,"美國,中國,香港"
2020-05-29,24.01,0.0,4471.28,41.0,42.0,".%,中國,台灣"
2020-05-30,,-0.02817087696669633,,36.0,33.0,"美國,中國,市場"
2020-05-31,,-0.6632942174102642,,24.0,24.0,
2020-06-01,23.46,0.10536051565782636,4492.03,47.0,45.0,"美國,市場,u3000"
2020-06-02,22.7,0.4578330936254803,4420.35,40.0,37.0,".%,億元,台灣"
2020-06-03,22.4,0.16251892949777494,4551.01,43.0,66.0,"市場,企業,台灣"
2020-06-04,21.55,0.1823215567939546,4605.17,47.0,39.0,"u3000,套套,營收"
2020-06-05,20.46,0.17435338714477774,4646.51,60.0,76.0,".%,美國,市場"
2020-06-06,,-0.2696635669491026,,36.0,59.0,"美國,因為,數據"
2020-06-07,,-0.10536051565782628,,26.0,27.0,"u3000,美國,投資"
2020-06-08,20.46,-0.03846628082779605,4630.35,51.0,49.0,"u3000,美國,廣明"
2020-06-09,20.5,-0.037740327982847086,4674.11,51.0,51.0,"u3000,億元,.%"
2020-06-10,20.63,0.09909090264423097,4724.12,52.0,46.0,"機制,市場,.%"
2020-06-11,23.03,-0.07847161544149521,4550.86,44.0,56.0,"美國,.%,u3000"
2020-06-12,26.06,-0.09097177820572676,4573.77,66.0,62.0,"美國,台灣,廣明"
2020-06-13,,-0.3483066942682157,,23.0,33.0,"中國,台灣,疫情"
2020-06-14,,0.029852963149681125,,28.0,37.0,"美國,市場,口罩"
2020-06-15,29.37,-0.04652001563489282,4695.84,42.0,42.0,"市場,美國,投資"
2020-06-16,24.82,0.1861022796338607,4741.41,52.0,43.0,"美國,u3000,.%"
2020-06-17,24.03,0.0727593542824283,4911.55,57.0,50.0,"市場,美國,股價"
2020-06-18,23.16,0.4353180712578455,4995.97,58.0,52.0,"市場,投資,經濟"
2020-06-19,22.69,0.0,4926.02,60.0,50.0,"u3000,市場,台灣"
2020-06-20,,-0.2787134024690205,,27.0,36.0,"投資,美國,市場"
2020-06-21,,0.0,,24.0,30.0,"投資,市場,壽險"
2020-06-22,22.91,0.3302416868705768,4988.99,27.0,23.0,"市場,台灣,公股"
2020-06-23,22.71,0.050010420574661416,4962.47,36.0,42.0,"美國,中國,台灣"
2020-06-24,22.32,0.1410785982599056,4849.67,28.0,41.0,"台灣,美國,內容"
2020-06-25,,-0.2984929885559965,,28.0,21.0,"美國,投資,u3000"
2020-06-26,,0.14660347419187544,,16.0,23.0,"美國,台灣,遊戲"
2020-06-27,,-0.10008345855698253,,18.0,20.0,"美國,中國,市場"
2020-06-28,,0.03278982282299097,,31.0,27.0,"勞保年,勞保,.%"
2020-06-29,24.82,0.15906469462968728,4935.51,32.0,29.0,"u3000,投資,大同"
2020-06-30,22.3,0.14310084364067324,4922.58,55.0,54.0,"大同,股東會,市場"
2020-07-01,21.69,-0.04167269640056808,4987.56,43.0,51.0,"u3000,市場,台灣"
2020-07-02,20.3,0.17062551703076345,5015.17,42.0,49.0,"機制,台灣,市場"
2020-07-03,20.42,0.03571808260207925,4992.97,56.0,54.0,"u3000,億元,內容"
2020-07-04,,0.3646431135879093,,28.0,31.0,"因為,投資,擦鞋童"
2020-07-05,,0.15415067982725836,,27.0,37.0,"美國,市場,大同"
2020-07-06,22.11,0.7073318155519017,5063.94,56.0,49.0,"市場,.%,投資"
2020-07-07,21.8,-0.020619287202735703,4950.17,43.0,52.0,"u3000,市場,機制"
2020-07-08,21.66,0.4700036292457356,5091.7,51.0,50.0,"投資,市場,內容"
2020-07-09,21.41,0.6431367599852839,5225.43,66.0,48.0,"台灣,市場,經濟"
2020-07-10,23.25,0.09684982598991762,5148.2,72.0,49.0,"億元,.%,投資"
2020-07-11,,0.6720937713621129,,40.0,29.0,"億元,.%,稅後純益"
2020-07-12,,0.10178269430994236,,24.0,33.0,"市場,美國,疫情"
2020-07-13,20.6,0.0444517625708338,5106.32,41.0,46.0,"市場,中國,台灣"
2020-07-14,21.19,0.1892419996385284,4984.03,41.0,63.0,"美國,中國,.%"
2020-07-15,21.88,-0.2962658161431724,4949.5,68.0,64.0,"美國,中國,投資"
2020-07-16,20.4,0.021053409197832263,4940.04,37.0,53.0,"收盤,獲得幣,跌停"
2020-07-17,20.16,-0.21905356606268464,4702.34,55.0,52.0,"市場,資金,投機"
2020-07-18,,-0.05715841383994864,,25.0,41.0,"中國,投資,美國"
2020-07-19,,0.14310084364067324,,40.0,41.0,"投資,股價,台灣"
2020-07-20,20.36,-0.5978370007556204,4699.25,53.0,69.0,"合一,u3000,投資人"
2020-07-21,20.47,-0.1903537284912189,4717.54,64.0,70.0,"u3000,停損,台股"
2020-07-22,20.51,-0.23967285326542034,4775.72,58.0,50.0,"美國,中國,停損"
2020-07-23,21.48,-0.06317890162153156,4737.16,42.0,49.0,"u3000,中國,台灣"
2020-07-24,24.95,0.01941808585710152,4644.55,51.0,49.0,"美國,.%,中國"
2020-07-25,,-0.3646431135879093,,27.0,30.0,".%,台積,台灣"
2020-07-26,,-0.10536051565782628,,30.0,25.0,"市場,u3000,美國"
2020-07-27,24.83,0.09646026618756233,4519.66,72.0,89.0,
2020-07-28,27.82,0.0,4500.08,64.0,68.0,"漲停,獲得幣,恭喜"
2020-07-29,27.51,-0.14732471475685846,4587.16,64.0,68.0,".%,美國,台積"
2020-07-30,26.3,0.4895482253187058,4657.65,54.0,41.0,"u3000,美國,市場"
2020-07-31,26.2,0.022472855852058576,4655.02,37.0,46.0,"台灣,市場,u3000"
2020-08-01,,0.2151113796169455,,31.0,22.0,"美國,u3000,報酬"
2020-08-02,,-0.19782574332991992,,30.0,38.0,".%,內容,u3000"
2020-08-03,27.21,0.07232066157962608,4741.33,38.0,40.0,"u3000,美國,中國"
2020-08-04,24.5,-0.15762894420358314,4760.35,40.0,47.0,"美國,中國,u3000"
2020-08-05,23.96,0.4940185054496094,4795.24,47.0,45.0,"u3000,中國,內容"
2020-08-06,25.11,0.2602830982636665,4758.08,41.0,41.0,"美國,.%,市場"
2020-08-07,24.25,-0.08004270767353637,4717.61,43.0,53.0,"u3000,中國,美國"
2020-08-08,,-0.21622310846963594,,31.0,32.0,"u3000,台灣,柯達"
2020-08-09,,-0.15415067982725836,,21.0,16.0,"美國,億元,u3000"
2020-08-10,24.43,0.04546237407675741,4659.64,42.0,43.0,"億元,營收,.%"
2020-08-11,24.16,0.28090238546640217,4574.03,45.0,39.0,".%,億元,u3000"
2020-08-12,23.25,0.2318016140573244,4563.76,52.0,46.0,"市場,中國,u3000"
2020-08-13,22.2,0.09531017980432492,4525.68,54.0,49.0,"台灣,.%,疫苗"
2020-08-14,22.23,0.058268908123975824,4574.45,47.0,52.0,"美國,億元,u3000"
2020-08-15,,0.3364722366212129,,25.0,32.0,"美國,市場,.%"
2020-08-16,,-0.42488319396526597,,12.0,29.0,"美國,中國,貨幣"
2020-08-17,21.47,0.4260843953109001,4623.95,36.0,43.0,"市場,.%,u3000"
2020-08-18,21.88,0.0,4671.5,49.0,57.0,"美國,華為,晶片"
2020-08-19,21.87,0.39730179746900346,4785.37,39.0,61.0,"美國,康友,投資"
2020-08-20,28.05,-0.2782033284972372,4536.29,49.0,72.0,"美國,台股,市場"
2020-08-21,24.38,0.25131442828090617,4600.18,56.0,53.0,".%,美國,內容"
2020-08-22,,0.4989911661189878,,22.0,21.0,"美國,.%,台股"
2020-08-23,,0.0,,22.0,25.0,"...%,華為,台灣"
2020-08-24,23.62,-0.11778303565638353,4645.11,34.0,48.0,"美國,中國,蘋果"
2020-08-25,23.27,-0.2954642128938359,4636.22,38.0,34.0,"美國,投資,台積"
2020-08-26,22.6,-0.2954642128938359,4791.99,32.0,39.0,"u3000,中國,美國"
2020-08-27,22.91,,4818.12,,,
2020-08-28,23.66,,4860.92,,,
2020-08-29,,,,,,
2020-08-30,,,,,,
2020-08-31,24.42,,4881.34,,,
2020-09-01,22.97,,4834.65,,,
2020-09-02,22.21,,4831.04,,,
2020-09-03,21.95,,4740.33,,,
2020-09-04,23.73,,4723.06,,,
2020-09-05,,,,,,
2020-09-06,,,,,,
2020-09-07,23.93,,4636.45,,,
2020-09-08,22.61,,4813.23,,,
2020-09-09,22.37,,4740.22,,,
2020-09-10,20.81,,4694.68,,,
2020-09-11,20.9,,4633.78,,,
2020-09-12,,,,,,
2020-09-13,,,,,,
2020-09-14,18.06,,4662.11,,,
2020-09-15,17.27,,4743.18,,,
2020-09-16,18.29,,4739.9,,,
2020-09-17,18.6,,4760.45,,,
2020-09-18,18.27,,4876.11,,,
2020-09-19,,,,,,
2020-09-20,,,,,,
2020-09-21,20.69,,4846.19,,,
2020-09-22,22.01,,4712.44,,,
2020-09-23,20.71,,4688.35,,,
2020-09-24,23.02,,4647.12,,,
2020-09-25,22.5,,4559.75,,,
2020-09-26,,-0.6400373552459971,,37.0,45.0,"中國,市場,u3000"
2020-09-27,,0.3302416868705768,,32.0,20.0,"中國,市場,處置"
2020-09-28,21.85,-0.04348511193973878,4583.82,33.0,56.0,"美國,市場,億元"
2020-09-29,21.52,-0.5978370007556204,4541.2,30.0,27.0,"上訴,上漲,.%"
2020-09-30,21.7,-0.2787134024690205,4589.94,23.0,39.0,"市場,美國,中國"
2020-10-01,,0.0,,13.0,25.0,".%,u3000,投資"
2020-10-02,,0.1892419996385284,,24.0,25.0,"美國,川普,確診"
2020-10-03,,-0.2231435513142097,,10.0,14.0,"美國,川普,u3000"
2020-10-04,,-0.5596157879354228,,8.0,23.0,"u3000,美國,投資人"
2020-10-05,23.27,0.17693070815907824,4638.65,37.0,28.0,"跳空,張綠,獲得幣"
2020-10-06,21.19,0.2151113796169455,4646.09,33.0,21.0,"u3000,.%,收購"
2020-10-07,20.83,-0.08455738802806301,4611.47,44.0,25.0,"u3000,億元,.%"
2020-10-08,20.63,0.10008345855698264,4608.11,37.0,39.0,"u3000,營收,.%"
2020-10-09,,0.125163142954006,,12.0,17.0,"協議,標前,台灣"
2020-10-10,,0.3364722366212129,,8.0,14.0,"美國,中國,u3000"
2020-10-11,,-0.2076393647782445,,14.0,12.0,"投資,美國,台積"
2020-10-12,21.51,0.5007752879124892,4572.46,27.0,21.0,"神積,張護國,張國慶"
2020-10-13,21.77,0.07410797215372182,4583.45,27.0,25.0,"億元,台灣,.%"
2020-10-14,21.96,0.0,4609.62,31.0,26.0,"蘋果,半導體,.%"
2020-10-15,22.25,0.6443570163905132,4555.64,30.0,26.0,"市場,u3000,.%"
2020-10-16,,0.6678293725756554,4531.41,25.0,28.0,"神積,張護國,核彈"
2020-10-17,,0.16251892949777494,,11.0,24.0,"紫光,因為,老師"
2020-10-18,,0.965080896043587,,14.0,12.0,"投資,u3000,股票"
2020-10-19,21.31,-0.1892419996385284,4569.02,25.0,24.0,"無事,相安,股王"
2020-10-20,22.26,-0.10536051565782628,4578.72,25.0,28.0,"市場,美國,u3000"
2020-10-21,22.02,-0.05715841383994864,4584.54,34.0,32.0,"董事,u3000,市場"
2020-10-22,22.04,-0.07696104113612832,4550.61,27.0,22.0,"拉積,獲得幣,美國"
2020-10-23,21.96,0.3894647667617233,4563.74,29.0,21.0,"u3000,.%,美國"
2020-10-24,,0.28768207245178085,,21.0,17.0,"台灣,美國,u3000"
2020-10-25,,0.16251892949777494,,12.0,23.0,"市場,增長,美元"
